Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle
138.0356542463257,178.80910024177868,239.72761899797058,243.1091749339439
127.33008495223089,178.4352517646827,246.72403508434869,242.6965377467251
124.61519349491134,178.07158649008264,244.4281031791373,241.82816993657207
127.57764363536121,176.0432877643762,256.21178866023,245.9528479477531
131.4769654766966,173.1458473324396,253.81565020700734,248.44755757132955
139.23755743922774,167.33661164231245,247.16323732710325,257.6876748079939
141.6502003166592,163.37755899403604,264.0938588862295,255.36803893779776
143.8003474643424,156.7192959837071,260.6501764210262,260.85665292783887
147.34788578708606,157.99094280037235,255.67640072771243,261.4589014307201
155.23761383168255,168.95795345538045,246.18483045261337,253.56202999005197
156.19184731083627,168.3299051203747,249.35971956845998,258.9191185368377
170.09331052957305,171.82215685739345,241.9140190042192,254.57330171937093
171.65826856222998,175.5650078531307,236.99261084097947,256.2222067429568
174.67724929223178,176.74573374852017,242.11233751826853,257.7296355439029
181.94529058651088,175.47786176257594,239.80339708807284,262.5203790614072
181.99763834211853,176.2905339322577,241.31017844232758,264.3139657034794
185.0919938410017,173.40675830163755,239.16442173175,266.3847690988445
180.8014176461171,171.75903064946814,241.5122267112382,268.276980270122
179.5680935699332,168.90603620232258,241.0275349785819,268.015391055133
180.07601145535023,166.0852744400363,238.62161436103636,267.52518522592896
179.03258469084034,160.0223058887691,239.35188169493517,268.38912887204606
182.73627093027204,156.63993832509783,234.80828711303383,265.8497570056352
178.15066801548065,153.6169576209533,237.53949921481453,260.7391832341033
177.28725474617505,148.3585855535967,240.56494116467195,255.3358722033407
176.70496833887609,144.2041306704478,241.82945025391237,249.71893134742024
172.28010356181912,142.44585340181902,245.93398650783647,245.60342746826643
170.4289215176792,139.8753127375786,248.4062909811822,247.88501699078364
166.78668993199227,139.15496974918136,251.01724545608053,247.02422198254405
162.85914314202378,142.94235836312828,254.54763532111068,252.8838499674104
164.3693372509811,147.05704732958728,256.16395061436026,250.35448208562778
165.44493746119113,149.17163974850683,256.57446475598664,252.33938324225227
165.7579596457867,154.20005748169376,254.68072520376523,251.73500058822984
168.77931321628475,160.2237787450203,252.64998823524866,263.63484964295475
161.8108224504259,160.94545216618044,256.1746148999842,262.89832810401214
166.7699208213191,163.5897289327063,251.1843828869066,258.47756039638466
171.81000991708225,166.95603892198196,248.12197912087956,253.7665411818561
